Symbol,Date,Adjusted_price
COF,2017-10-31,88.4
COF,2015-10-30,71.76
CAH,2020-10-30,46.25
CAH,2020-09-30,47.42
CAH,2020-07-31,54.59
CAH,2020-04-30,49.0
CAH,2019-10-31,48.02
CAH,2017-10-31,55.38
CAH,2015-10-30,69.85
KMX,2020-10-30,87.3
KMX,2020-09-30,92.83
KMX,2020-07-31,97.94
KMX,2020-04-30,74.39
KMX,2019-10-31,94.1
KMX,2017-10-31,75.85
KMX,2015-10-30,59.6
CCL,2020-10-30,13.85
CCL,2020-09-30,15.33
CCL,2020-07-31,14.02
CCL,2020-04-30,16.06
CCL,2019-10-31,42.33
CCL,2017-10-31,61.31
CCL,2015-10-30,47.07
CARR,2020-10-30,33.72
CARR,2020-09-30,30.77
CARR,2020-07-31,27.44
CARR,2020-04-30,17.78
CARR,2019-10-31,
CARR,2017-10-31,
CARR,2015-10-30,
CTLT,2020-10-30,88.65
CTLT,2020-09-30,86.52
CTLT,2020-07-31,88.21
CTLT,2020-04-30,69.84
CTLT,2019-10-31,49.14
CTLT,2017-10-31,43.02
CTLT,2015-10-30,26.85
CAT,2020-10-30,158.62
CAT,2020-09-30,149.72
CAT,2020-07-31,133.39
CAT,2020-04-30,115.96
CAT,2019-10-31,135.11
CAT,2017-10-31,126.64
CAT,2015-10-30,62.64
CBOE,2020-10-30,82.1
CBOE,2020-09-30,88.62
CBOE,2020-07-31,88.17
CBOE,2020-04-30,99.57
CBOE,2019-10-31,114.69
CBOE,2017-10-31,110.09
CBOE,2015-10-30,63.57
CBRE,2020-10-30,50.9
CBRE,2020-09-30,47.44
CBRE,2020-07-31,44.25
CBRE,2020-04-30,43.36
CBRE,2019-10-31,54.09
CBRE,2017-10-31,39.71
CBRE,2015-10-30,37.65
CDW,2020-10-30,123.83
CDW,2020-09-30,120.73
CDW,2020-07-31,117.01
CDW,2020-04-30,111.14
CDW,2019-10-31,127.58
CDW,2017-10-31,68.24
CDW,2015-10-30,42.51
CE,2020-10-30,114.65
CE,2020-09-30,107.97
CE,2020-07-31,97.67
CE,2020-04-30,82.92
CE,2019-10-31,119.29
CE,2017-10-31,98.55
CE,2015-10-30,64.53
CNC,2020-10-30,59.69
CNC,2020-09-30,58.91
CNC,2020-07-31,65.9
CNC,2020-04-30,67.25
CNC,2019-10-31,53.61
CNC,2017-10-31,47.3
CNC,2015-10-30,30.04
CNP,2020-10-30,21.34
CNP,2020-09-30,19.54
CNP,2020-07-31,19.06
CNP,2020-04-30,16.92
CNP,2019-10-31,28.25
CNP,2017-10-31,26.55
CNP,2015-10-30,15.19
CERN,2020-10-30,70.79
CERN,2020-09-30,73.01
CERN,2020-07-31,69.96
CERN,2020-04-30,69.73
CERN,2019-10-31,67.08
CERN,2017-10-31,67.13
CERN,2015-10-30,65.91
CF,2020-10-30,27.89
CF,2020-09-30,31.02
CF,2020-07-31,31.37
CF,2020-04-30,27.2
CF,2019-10-31,44.25
CF,2017-10-31,35.04
CF,2015-10-30,42.7
SCHW,2020-10-30,41.52
SCHW,2020-09-30,36.59
SCHW,2020-07-31,33.31
SCHW,2020-04-30,37.7
SCHW,2019-10-31,40.37
SCHW,2017-10-31,43.36
SCHW,2015-10-30,28.95
CHTR,2020-10-30,609.86
CHTR,2020-09-30,630.58
CHTR,2020-07-31,585.8
CHTR,2020-04-30,500.18
CHTR,2019-10-31,472.54
CHTR,2017-10-31,337.51
CHTR,2015-10-30,192.85
CVX,2020-10-30,70.2
CVX,2020-09-30,72.72
CVX,2020-07-31,83.58
CVX,2020-04-30,90.27
CVX,2019-10-31,111.54
CVX,2017-10-31,103.04
CVX,2015-10-30,74.19
CMG,2020-10-30,1213.49
CMG,2020-09-30,1256.15
CMG,2020-07-31,1166.71
CMG,2020-04-30,887.34
CMG,2019-10-31,785.94
CMG,2017-10-31,274.62
CMG,2015-10-30,646.63
CB,2020-10-30,131.21
CB,2020-09-30,117.28
CB,2020-07-31,127.66
CB,2020-04-30,107.72
CB,2019-10-31,150.14
CB,2017-10-31,142.45
CB,2015-10-30,102.25
CHD,2020-10-30,89.27
CHD,2020-09-30,94.65
CHD,2020-07-31,97.05
CHD,2020-04-30,70.28
CHD,2019-10-31,69.77
CHD,2017-10-31,43.73
CHD,2015-10-30,40.41
CI,2020-10-30,168.64
CI,2020-09-30,171.1
CI,2020-07-31,174.42
CI,2020-04-30,197.74
CI,2019-10-31,180.2
CI,2017-10-31,199.06
